isin,bond_name,rating,bond_yield,min_Investment,payout_frequency,logo_url,detail_url,tenure,maturity_date
IN0020230036,G-Sec Apr ’30,Sovereign,6.50%,₹103,Semi Annually,https://cdn.bondscanner.com/issuer-assets/WXWT9FJ2AH/logo_1772205552.png,https://bondscanner.com/deal-details/IN0020230036/VRAU8IOF5N,3.78,17-04-2030
INE00XL07015,B.N. Agritech Nov ’28,A,11.20%,"₹9,932",Quarterly,https://cdn.bondscanner.com/issuer-assets/HYTD9553PR/logo_1780300920.png,https://bondscanner.com/deal-details/INE00XL07015/RI8D34Y7YO,2.39,27-11-2028
INE01HV07635,Hari and Company Investments Madras May ’28,A+,10.10%,"₹10,003",Quarterly,https://cdn.bondscanner.com/issuer-assets/H3U6JWESSY/logo_1782195292.png,https://bondscanner.com/deal-details/INE01HV07635/D2IO9XSWCE,1.82,04-05-2028
INE01YL07409,EarlySalary Services Jan ’28,A-,11.25%,"₹100,018",Monthly,https://cdn.bondscanner.com/strapi-assets/Frame_1707480411_4ad6648c95.webp,https://bondscanner.com/deal-details/INE01YL07409/Q26JYG9EJC,1.50,08-01-2028
INE01YL07433,EarlySalary Services Jun ’28,A-,11.15%,"₹100,331",Quarterly,https://cdn.bondscanner.com/strapi-assets/Frame_1707480411_4ad6648c95.webp,https://bondscanner.com/deal-details/INE01YL07433/2ZNUPDLRMM,1.92,09-06-2028
INE01YL07441,EarlySalary Services Jul ’28,A-,11.12%,"₹99,728",Quarterly,https://cdn.bondscanner.com/strapi-assets/Frame_1707480411_4ad6648c95.webp,https://bondscanner.com/deal-details/INE01YL07441/2AIJK8GOUL,1.99,04-07-2028
INE02KN08012,Godrej Finance Apr ’36,AA+,8.50%,"₹101,552",Annual,https://cdn.bondscanner.com/issuer-assets/HGZ4PL9GAU/logo_1779689482.png,https://bondscanner.com/deal-details/INE02KN08012/O19FIKNYAF,9.81,28-04-2036
INE04UP07170,Best Capital Mar ’29,BBB,14.00%,"₹9,113",Monthly,https://cdn.bondscanner.com/issuer-assets/XA4YVZHHCW/logo_1774958604.png,https://bondscanner.com/deal-details/INE04UP07170/2XFRWJQ03O,2.73,30-03-2029
INE071G07439,ICICI Home Finance Aug ’31,AAA,7.45%,"₹1,055,867",Annual,https://cdn.bondscanner.com/issuer-assets/ZV3Q5KY1RH/logo_1781523484.png,https://bondscanner.com/deal-details/INE071G07439/X3TT4PP9YU,5.09,12-08-2031
INE087P07485,Avanse Financial Services Sep ’27,AA-,8.75%,"₹107,322",Annual,https://cdn.bondscanner.com/issuer-assets/2M2LVWFVAR/logo_1781523452.png,https://bondscanner.com/deal-details/INE087P07485/TBBRSA8WJM,1.17,10-09-2027
INE08XP07498,Akara Capital Nov ’27,BBB,15.00%,"₹9,756",Monthly,https://cdn.bondscanner.com/strapi-assets/Frame_1707480408_0b0d5b8c10.webp,https://bondscanner.com/deal-details/INE08XP07498/N64O6NJ8KE,1.33,07-11-2027
INE09B308044,Slice Dec ’31,BBB+,12.80%,"₹99,228",Monthly,https://cdn.bondscanner.com/issuer-assets/RSBYZWMKDI/logo_1774011986.png,https://bondscanner.com/deal-details/INE09B308044/CGCPY77MXI,5.44,17-12-2031
INE0BUS07CJ2,Indel Money Jan ’29,A-,11.15%,"₹100,405",Monthly,https://cdn.bondscanner.com/issuer-assets/G0Z4IVQFVE/logo_1775192276.png,https://bondscanner.com/deal-details/INE0BUS07CJ2/1CDWI9CFL0,2.54,23-01-2029
INE0BUS07CK0,Indel Money Apr ’28,A-,11.45%,"₹9,831",Monthly,https://cdn.bondscanner.com/issuer-assets/G0Z4IVQFVE/logo_1775192276.png,https://bondscanner.com/deal-details/INE0BUS07CK0/ED0HDYSJM0,1.78,17-04-2028
INE0BUS08047,Indel Money Jun ’32,A-,13.30%,"₹98,707",Monthly,https://cdn.bondscanner.com/issuer-assets/G0Z4IVQFVE/logo_1775192276.png,https://bondscanner.com/deal-details/INE0BUS08047/RS1HL4V5TV,5.92,09-06-2032
INE0GCN07039,Adani Airports Jun ’28,AA-,8.50%,"₹102,638",Annual,https://cdn.bondscanner.com/issuer-assets/GG4GC9R4KR/logo_1771941145.png,https://bondscanner.com/deal-details/INE0GCN07039/G4FGDG837G,1.93,12-06-2028
INE0I5X07034,Monedo Financial Services Jul ’27,BBB-,15.00%,"₹99,339",Monthly,https://cdn.bondscanner.com/issuer-assets/7R64OM6LIR/logo_1782373567.png,https://bondscanner.com/deal-details/INE0I5X07034/94W0FN0KTS,1.03,19-07-2027
INE0IID07553,Prachay Capital Mar ’30,BBB-,13.80%,"₹10,032",Monthly,https://cdn.bondscanner.com/issuer-assets/8IABVO9YVC/logo_1780551055.png,https://bondscanner.com/deal-details/INE0IID07553/RQZ521B02K,3.70,20-03-2030
INE0JYY07026,Mangalam Apr ’29,A+,11.05%,"₹100,429",Quarterly,https://cdn.bondscanner.com/issuer-assets/RDHCLX0DGM/logo_1778220948.png,https://bondscanner.com/deal-details/INE0JYY07026/IX3OZA8XDE,2.81,28-04-2029
INE0JZO07040,Lucina Land Jan ’29,A-,13.20%,"₹101,176",Monthly,https://cdn.bondscanner.com/issuer-assets/YXE0TFSRC8/logo_1781860001.png,https://bondscanner.com/deal-details/INE0JZO07040/6YTKP09SXZ,2.56,30-01-2029
INE0MEG07029,Viviana Power Tech May ’28,BBB-,12.62%,"₹9,969",Monthly,https://cdn.bondscanner.com/issuer-assets/CFIXVM1WW8/logo_1780577167.png,https://bondscanner.com/deal-details/INE0MEG07029/3MIOBDBOMQ,1.87,21-05-2028
INE0NES07147,Keertana Finserv May ’27,BBB+,13.50%,"₹39,904",Monthly,https://cdn.bondscanner.com/issuer-assets/BP8O7XLW8G/logo_1764160292.png,https://bondscanner.com/deal-details/INE0NES07147/URC4NT9SO8,0.88,26-05-2027
INE101Q07BX1,Muthoot Mcred Jun ’28,A,11.10%,"₹9,768",Monthly,https://cdn.bondscanner.com/issuer-assets/10EFL8UCYL/logo_1771595713.png,https://bondscanner.com/deal-details/INE101Q07BX1/OP9MQ9UD6B,1.94,17-06-2028
INE105N07738,Oriental Nagpur Betul Highway Mar ’27,AAA,8.00%,"₹103,221",Semi-Annual,https://cdn.bondscanner.com/issuer-assets/LMDKDUN8BF/logo_1780551082.png,https://bondscanner.com/deal-details/INE105N07738/N5XZQOGW1E,0.73,30-03-2027
INE109C07147,Arman Financial Services Sep ’28,A-,11.55%,"₹99,901",Quarterly,https://cdn.bondscanner.com/issuer-assets/AYEYF1BJEQ/logo_1774964448.png,https://bondscanner.com/deal-details/INE109C07147/W20QUO39SW,2.21,25-09-2028
